{\rtf1\ansi\ansicpg1252\cocoartf2761
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 SampleNumber,Result,Time,Method\
1,1,76.899961,relax\
2,1,79.980857,relax\
3,2,73.293118,relax\
4,2,101.713518,relax\
5,1,75.110051,relax\
6,1,65.601870,relax\
7,1,69.481762,relax\
8,1,79.048301,relax\
9,2,106.886439,relax\
10,1,75.127681,relax\
}
